DatePaid;TrackingNumber;Location;LocationName;OSS360_PaymentType;BankName;Montant Total
03/10/2020;L03_01_20201003_42479;L03;Agence des Arcades;Espèces;UBA BANK;1134270
05/10/2020;L03_01_20201005_42521;L03;Agence des Arcades;Espèces;BGFI BANK;3157625
06/10/2020;L03_01_20201006_42576;L03;Agence des Arcades;Espèces;UBA BANK;4104878
07/10/2020;L03_01_20201007_42614;L03;Agence des Arcades;Espèces;BGFI BANK;3418058
08/10/2020;L03_01_20201008_42658;L03;Agence des Arcades;Espèces;UBA BANK;2049193
09/10/2020;L03_01_20201009_42690;L03;Agence des Arcades;Espèces;UBA BANK;2604112
10/10/2020;L03_01_20201010_42713;L03;Agence des Arcades;Espèces;UBA BANK;1431618
09/09/2020;L03_02_20200910_41700;L03;Agence des Arcades;Chèque BGFI         ;BGFI BANK;30256
09/09/2020;L03_02_20200910_41700;L03;Agence des Arcades;Chèque BICIG        ;BGFI BANK;268818
09/09/2020;L03_02_20200910_41700;L03;Agence des Arcades;Chèque UGB          ;BGFI BANK;1786541
10/09/2020;L03_02_20200910_41730;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;893362
10/09/2020;L03_02_20200910_41730;L03;Agence des Arcades;Chèque ORABANK      ;UBA BANK;45381
10/09/2020;L03_02_20200910_41730;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;744322
11/09/2020;L03_02_20200911_41778;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;410671
15/09/2020;L03_02_20200915_41859;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;175963
15/09/2020;L03_02_20200915_41859;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;1872669
15/09/2020;L03_02_20200915_41859;L03;Agence des Arcades;Chèque ECOBANK      ;UBA BANK;263114
15/09/2020;L03_02_20200915_41859;L03;Agence des Arcades;Chèque ORABANK      ;UBA BANK;151271
15/09/2020;L03_02_20200915_41859;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;171692
16/09/2020;L03_02_20200916_41912;L03;Agence des Arcades;Chèque BICIG        ;BGFI BANK;2525568
16/09/2020;L03_02_20200916_41912;L03;Agence des Arcades;Chèque ORABANK      ;BGFI BANK;79831
17/09/2020;L03_02_20200917_41956;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;99787
17/09/2020;L03_02_20200917_41956;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;45000
17/09/2020;L03_02_20200917_41956;L03;Agence des Arcades;Chèque ORABANK      ;UBA BANK;145826
17/09/2020;L03_02_20200917_41956;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;559356
18/09/2020;L03_02_20200918_42004;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;1298427
18/09/2020;L03_02_20200918_42004;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;572671
18/09/2020;L03_02_20200918_42004;L03;Agence des Arcades;Chèque UBA          ;UBA BANK;25213
18/09/2020;L03_02_20200918_42004;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;246230
19/09/2020;L03_02_20200919_42011;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;204274
