29/09/2020|L07_01_20200929_42303|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|368550
29/09/2020|L07_01_20200929_42304|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|1469837
29/09/2020|L08_01_20200929_42302|L08|Agence Owendo|                                        |Espèces|UBA BANK|1895660
29/09/2020|L08_02_20200929_42305|L08|Agence Owendo|3372907                                 |Chèque ORABANK      |UBA BANK|422133
29/09/2020|L10_01_20200929_42317|L10|Agence Carrefour SNI|                                        |Espèces|UBA BANK|547062
29/09/2020|L11_01_20200929_42328|L11|Agence Franceville|                                        |Espèces|UGB BANK|685501
29/09/2020|L11_02_20200929_42324|L11|Agence Franceville|   7002795                              |Chèque BICIG        |UGB BANK|245468
29/09/2020|L11_02_20200929_42324|L11|Agence Franceville|7002795                                 |Chèque BICIG        |UGB BANK|5377506
29/09/2020|L12_01_20200929_42334|L12|Agence Port-Gentil|                                        |Espèces|UGB BANK|935471
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|0000409                                 |Chèque UGB          |BGFI BANK|121017
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|0001691                                 |Chèque UGB          |BGFI BANK|1058901
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|3390253                                 |Chèque ORABANK      |BGFI BANK|78687
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|3449444                                 |Chèque ORABANK      |BGFI BANK|326686
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6789931                                 |Chèque BGFI         |BGFI BANK|233497
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6935883                                 |Chèque BGFI         |BGFI BANK|130000
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6981833                                 |Chèque BICIG        |BGFI BANK|34449
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6995147                                 |Chèque BGFI         |BGFI BANK|90762
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7147049                                 |Chèque BGFI         |BGFI BANK|146632
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7147052                                 |Chèque BGFI         |BGFI BANK|88977
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7287560                                 |Chèque BGFI         |BGFI BANK|47600
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7379056                                 |Chèque BGFI         |BGFI BANK|99860
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7749609                                 |Chèque UGB          |BGFI BANK|94111
29/09/2020|L13_01_20200929_42296|L13|Agence Koulamoutou|                                        |Espèces|ORABANK Recettes|4264273
29/09/2020|L14_01_20200929_42297|L14|Agence Oyem|                                        |Espèces|UGB BANK|2835000
29/09/2020|L14_01_20200929_42300|L14|Agence Oyem|                                        |Espèces|UGB BANK|96000
29/09/2020|L15_01_20200929_42311|L15|Agence Lambaréné|                                        |Espèces|   BGFI BANK                            |645905
29/09/2020|L16_01_20200929_42336|L16|Agence Mouila|                                        |Espèces|BICIG BANK|440390
29/09/2020|L17_01_20200929_42318|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |1015977
29/09/2020|L22_01_20200929_42327|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2646947
29/09/2020|L22_02_20200929_42326|L22|Agence Mbolo|9989459                                 |Chèque UGB          |ORABANK Recettes|79831
29/09/2020|L22_02_20200929_42326|L22|Agence Mbolo|N° 3463670                              |Chèque ORABANK      |ORABANK Recettes|133411
29/09/2020|L22_02_20200929_42326|L22|Agence Mbolo|N° 6491980                              |Chèque BICIG        |ORABANK Recettes|45262
29/09/2020|L25_01_20200929_42331|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|1892481
29/09/2020|L29_01_20200929_42313|L29|Agence FTTH|                                        |Espèces|BGFI BANK|2063663
29/09/2020|L29_02_20200929_42308|L29|Agence FTTH|0000290                                 |Chèque UGB          |BGFI BANK|84961
29/09/2020|L29_02_20200929_42308|L29|Agence FTTH|7325449                                 |Chèque BGFI         |BGFI BANK|45381
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|0014070                                 |Chèque ECOBANK      |UGB BANK|94500000
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|0014071                                 |Chèque ECOBANK      |UGB BANK|10650000
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|5877204                                 |Chèque UGB          |UGB BANK|35000000
29/09/2020|L32_02_20200930_42338|L32|DCM - distribution|6929416                                 |Chèque BICIG        |UGB BANK|94500000
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|6929417                                 |Chèque BICIG        |UGB BANK|20500000
29/09/2020|L32_04_20200929_42298|L32|DCM - distribution|881243                                  |BGFI  Virement      |BGFI BANK|3402000
29/09/2020|L32_04_20200929_42298|L32|DCM - distribution|881246                                  |BGFI  Virement      |BGFI BANK|14345100
29/09/2020|L39_01_20200929_42332|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|5537700
29/09/2020|L39_01_20200929_42333|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|2300
29/09/2020|L40_01_20200929_42299|L40|Agence Gamba|                                        |Espèces|BICIG BANK|58500
29/09/2020|L79_01_20200929_42306|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|425250
29/09/2020|L79_01_20200929_42309|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|74500
29/09/2020|L80_01_20200929_42295|L80|Agence Bitam|                                        |Espèces|UGB BANK|96667
29/09/2020|L86_01_20200929_42322|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|85050
29/09/2020|L86_01_20200929_42325|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|226967
29/09/2020|L87_01_20200929_42329|L87|Agence PK8|                                        |Espèces|UBA BANK|621225
29/09/2020|L87_02_20200929_42330|L87|Agence PK8|6752447                                 |Chèque BICIG        |UBA BANK|103347
29/09/2020|M02_01_20200929_42310|M02|Agence Awendje|                                        |Espèces|UBA BANK|94500
29/09/2020|M02_01_20200929_42312|M02|Agence Awendje|                                        |Espèces|UBA BANK|870020
30/09/2020|L02_01_20200930_42352|L02|Agence Okala|                                        |Espèces|BGFI BANK|1793631
30/09/2020|L02_02_20200930_42349|L02|Agence Okala|6165345                                 |Chèque BICIG        | BGFI BANK                              |75636
30/09/2020|L03_01_20200930_42375|L03|Agence des Arcades|                                        |Espèces|BGFI BANK|3987726
30/09/2020|L03_02_20200930_42374|L03|Agence des Arcades|0000339                                 |Chèque UGB          |BGFI BANK|45381
30/09/2020|L03_02_20200930_42374|L03|Agence des Arcades|4415956                                 |Chèque BGFI         |BGFI BANK|45381
30/09/2020|L03_02_20200930_42374|L03|Agence des Arcades|780227                                  |Chèque UBA          |BGFI BANK|91266
30/09/2020|L03_02_20200930_42374|L03|Agence des Arcades|7822573                                 |Chèque UGB          |BGFI BANK|35297
30/09/2020|L03_02_20200930_42374|L03|Agence des Arcades|9769199                                 |Chèque UGB          |BGFI BANK|154972
30/09/2020|L03_02_20200930_42374|L03|Agence des Arcades|9769200                                 |Chèque UGB          |BGFI BANK|39331
30/09/2020|L04_01_20200930_42363|L04|Agence Evolis|                                        |Espèces|UBA BANK|2354128
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|0000219                                 |Chèque UGB          |UBA BANK|32977
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|0003571                                 |Chèque UGB          |UBA BANK|502905
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|5829218                                 |Chèque BICIG        |UBA BANK|30757
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|5829219                                 |Chèque BICIG        |UBA BANK|38019
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|6180597                                 |Chèque BICIG        |UBA BANK|110932
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|6588957                                 |Chèque BICIG        |UBA BANK|1154710
30/09/2020|L04_02_20200930_42362|L04|Agence Evolis|6619710                                 |Chèque BICIG        |UBA BANK|424810
30/09/2020|L05_01_20200930_42372|L05|Agence Principale|                                        |Espèces|UBA BANK|2524568
30/09/2020|L05_02_20200930_42347|L05|Agence Principale|0001526                                 |Chèque UGB          |UBA BANK|120000
30/09/2020|L05_02_20200930_42347|L05|Agence Principale|3199602                                 |Chèque ECOBANK      |UBA BANK|8953130
30/09/2020|L05_02_20200930_42347|L05|Agence Principale|6994451                                 |Chèque BICIG        |UBA BANK|30254
30/09/2020|L05_02_20200930_42347|L05|Agence Principale|7700587                                 |Chèque UGB          |UBA BANK|228910
30/09/2020|L06_01_20200930_42351|L06|Agence Nzeng Ayong|                                        |Espèces|UBA BANK|2013835
30/09/2020|L07_01_20200930_42358|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|18900
30/09/2020|L07_01_20200930_42371|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|1627647
30/09/2020|L07_02_20200930_42357|L07|Agence Sainte Marie|6518687                                 |Chèque BGFI         |UBA BANK|44030
30/09/2020|L07_02_20200930_42357|L07|Agence Sainte Marie|6964965                                 |Chèque BICIG        |UBA BANK|25211
30/09/2020|L07_02_20200930_42357|L07|Agence Sainte Marie|7346608                                 |Chèque BGFI         |UBA BANK|266964
30/09/2020|L08_01_20200930_42365|L08|Agence Owendo|                                        |Espèces|UBA BANK|2772546
30/09/2020|L08_02_20200930_42369|L08|Agence Owendo|6477081                                 |Chèque BICIG        |UBA BANK|39331
30/09/2020|L10_01_20200930_42373|L10|Agence Carrefour SNI|                                        |Espèces|UBA BANK|264900
30/09/2020|L11_01_20200930_42368|L11|Agence Franceville|                                        |Espèces|UGB BANK|1415962
30/09/2020|L12_01_20200930_42378|L12|Agence Port-Gentil|                                        |Espèces|UGB BANK|2197720
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|3091739                                 |Chèque ECOBANK      |BGFI BANK|70592
