25/09/2020;L86_01_20200925_42235;L86;Agence Mont-Bouet;Espèces;UBA BANK;174206
17/09/2020;L86_02_20200918_41967;L86;Agence Mont-Bouet;Chèque BICIG        ;UBA BANK;329974
15/09/2020;L87_01_20200915_41837;L87;Agence PK8;Espèces;UBA BANK;140426
16/09/2020;L87_01_20200916_41911;L87;Agence PK8;Espèces;UBA BANK;585149
17/09/2020;L87_01_20200917_41957;L87;Agence PK8;Espèces;UBA BANK;499282
18/09/2020;L87_01_20200918_41978;L87;Agence PK8;Espèces;UBA BANK;132370
18/09/2020;L87_01_20200918_41980;L87;Agence PK8;Espèces;UBA BANK;26225
21/09/2020;L87_01_20200921_42030;L87;Agence PK8;Espèces;UBA BANK;706558
22/09/2020;L87_01_20200922_42098;L87;Agence PK8;Espèces;UBA BANK;373003
23/09/2020;L87_01_20200923_42140;L87;Agence PK8;Espèces;UBA BANK;245962
24/09/2020;L87_01_20200924_42165;L87;Agence PK8;Espèces;UBA BANK;318543
25/09/2020;L87_01_20200925_42238;L87;Agence PK8;Espèces;UBA BANK;543807
15/09/2020;M02_01_20200915_41848;M02;Agence Awendje;Espèces;UBA BANK;9450
15/09/2020;M02_01_20200915_41855;M02;Agence Awendje;Espèces;UBA BANK;284777
16/09/2020;M02_01_20200916_41907;M02;Agence Awendje;Espèces;UBA BANK;75600
16/09/2020;M02_01_20200916_41908;M02;Agence Awendje;Espèces;UBA BANK;299669
17/09/2020;M02_01_20200917_41942;M02;Agence Awendje;Espèces;BGFI BANK;9450
17/09/2020;M02_01_20200917_41943;M02;Agence Awendje;Espèces;BGFI BANK;270557
18/09/2020;M02_01_20200918_41991;M02;Agence Awendje;Espèces;UBA BANK;47250
18/09/2020;M02_01_20200918_41993;M02;Agence Awendje;Espèces;UBA BANK;1398169
21/09/2020;M02_01_20200921_42050;M02;Agence Awendje;Espèces;UBA BANK;85050
21/09/2020;M02_01_20200921_42051;M02;Agence Awendje;Espèces;UBA BANK;1051456
22/09/2020;M02_01_20200922_42082;M02;Agence Awendje;Espèces;UBA BANK;66150
22/09/2020;M02_01_20200922_42086;M02;Agence Awendje;Espèces;UBA BANK;470679
23/09/2020;M02_01_20200923_42121;M02;Agence Awendje;Espèces;UBA BANK;56700
23/09/2020;M02_01_20200923_42126;M02;Agence Awendje;Espèces;UBA BANK;126413
24/09/2020;M02_01_20200924_42184;M02;Agence Awendje;Espèces; BGFI BANK                              ;66150
24/09/2020;M02_01_20200924_42186;M02;Agence Awendje;Espèces;BGFI BANK;580856
25/09/2020;M02_01_20200925_42215;M02;Agence Awendje;Espèces;UBA BANK;28350
25/09/2020;M02_01_20200925_42221;M02;Agence Awendje;Espèces;UBA BANK;381584
18/09/2020;M02_02_20200918_41986;M02;Agence Awendje;Chèque BICIG        ;UBA BANK;47600
21/09/2020;M02_02_20200921_42039;M02;Agence Awendje;Chèque BICIG        ;UBA BANK;279129
22/09/2020;M02_02_20200922_42079;M02;Agence Awendje;Chèque ECOBANK      ;UBA BANK;45375
