08/10/2020|L14_01_20201008_42627|L14|Agence Oyem|                                        |Espèces|UGB BANK|70500
08/10/2020|L15_01_20201008_42648|L15|Agence Lambaréné|                                        |Espèces|   BGFI BANK                            |377341
08/10/2020|L15_02_20201008_42646|L15|Agence Lambaréné|6350210                                 |Chèque BGFI         |   BGFI BANK                            |62384
08/10/2020|L16_01_20201008_42645|L16|Agence Mouila|                                        |Espèces|BICIG BANK|110310
08/10/2020|L17_01_20201008_42633|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |549796
08/10/2020|L22_01_20201008_42632|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2828608
08/10/2020|L25_01_20201008_42651|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|1693449
08/10/2020|L25_02_20201008_42649|L25|Agence AVORBAM|3192864                                 |Chèque ORABANK      |BGFI BANK|50429
08/10/2020|L29_01_20201008_42647|L29|Agence FTTH|                                        |Espèces|BGFI BANK|3173242
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|0000173                                 |Chèque UGB          |BGFI BANK|208485
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|0000335                                 |Chèque UGB          |BGFI BANK|181524
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|0779179                                 |Chèque UBA          |BGFI BANK|208374
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|3348699                                 |Chèque ORABANK      |BGFI BANK|159843
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|4770740                                 |Chèque BGFI         |BGFI BANK|100847
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|5924149                                 |Chèque BGFI         |BGFI BANK|146230
08/10/2020|L29_02_20201008_42652|L29|Agence FTTH|6454438                                 |Chèque BGFI         |BGFI BANK|25213
08/10/2020|L32_04_20201008_42622|L32|DCM - distribution|013402                                  |Orabank Virement                        |ORABANK|94500000
08/10/2020|L32_04_20201008_42622|L32|DCM - distribution|013403                                  |Orabank Virement                        |ORABANK|18900000
